"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.292544732E1,2.870672199E1,1.159059177E2,7.691583075E1,0.000000000E0,0.000000000E0,4.445727348E0,4.443387508E0
5.392403451E1,2.870672303E1,1.159059190E2,7.649865435E1,0.000000000E0,0.000000000E0,4.404007912E0,4.425467014E0
5.492522321E1,2.870672678E1,1.159059196E2,7.589612381E1,0.000000000E0,0.000000000E0,4.408672810E0,4.470511913E0
5.592129019E1,2.870672939E1,1.159059207E2,7.579157462E1,0.000000000E0,0.000000000E0,4.501401901E0,4.648864269E0
5.692121139E1,2.870672841E1,1.159059204E2,7.557019821E1,0.000000000E0,0.000000000E0,4.553947926E0,4.770105362E0
5.792381977E1,2.870672871E1,1.159059208E2,7.528900886E1,0.000000000E0,0.000000000E0,4.604415417E0,4.874996185E0
5.892599482E1,2.870672747E1,1.159059237E2,7.517620374E1,0.000000000E0,0.000000000E0,4.698106289E0,5.053733349E0
5.992160732E1,2.870672824E1,1.159059243E2,7.479973912E1,0.000000000E0,0.000000000E0,4.667838573E0,5.056879044E0
6.092724373E1,2.870672868E1,1.159059237E2,7.446801599E1,0.000000000E0,0.000000000E0,4.680109024E0,5.029283524E0
6.192387503E1,2.870673054E1,1.159059215E2,7.473676566E1,0.000000000E0,0.000000000E0,4.595508575E0,4.810018539E0
6.292881758E1,2.870674004E1,1.159059115E2,7.552405376E1,6.299999952E-1,3.271000061E2,4.350335121E0,4.292305470E0
6.392447508E1,2.870673148E1,1.159059129E2,7.678678207E1,0.000000000E0,0.000000000E0,4.499550819E0,4.403617859E0
6.492398935E1,2.870672768E1,1.159059144E2,7.681832240E1,0.000000000E0,0.000000000E0,4.493971348E0,4.155615330E0
6.592470248E1,2.870672975E1,1.159059165E2,7.676912739E1,0.000000000E0,0.000000000E0,1.125381184E1,4.218173981E0
6.691901550E1,2.870673687E1,1.159059149E2,7.581541664E1,0.000000000E0,0.000000000E0,1.119483662E1,4.218176365E0
6.792374164E1,2.870673889E1,1.159059147E2,7.593224413E1,0.000000000E0,0.000000000E0,1.120783138E1,4.142538071E0
6.892417784E1,2.870674163E1,1.159059140E2,7.623712452E1,0.000000000E0,0.000000000E0,1.130143547E1,4.159827709E0
6.992468091E1,2.870674121E1,1.159059156E2,7.663464018E1,0.000000000E0,0.000000000E0,1.147694683E1,4.177039623E0
7.092405664E1,2.870674194E1,1.159059181E2,7.655980557E1,0.000000000E0,0.000000000E0,1.169407177E1,4.252811432E0
7.192169305E1,2.870674061E1,1.159059156E2,7.627025878E1,0.000000000E0,0.000000000E0,1.214078045E1,4.495536327E0
7.292177878E1,2.870674005E1,1.159059161E2,7.651366395E1,0.000000000E0,0.000000000E0,1.130229473E1,4.563313961E0
7.392376711E1,2.870673640E1,1.159059133E2,7.697759049E1,0.000000000E0,0.000000000E0,1.134899616E1,4.665394783E0
7.492827544E1,2.870673838E1,1.159059133E2,7.716149497E1,0.000000000E0,0.000000000E0,1.123590088E1,4.661247253E0
7.592368367E1,2.870673743E1,1.159059109E2,7.762573285E1,0.000000000E0,0.000000000E0,1.121267891E1,4.777561188E0
7.692284997E1,2.870673456E1,1.159059114E2,7.765227361E1,0.000000000E0,0.000000000E0,1.116964149E1,4.858300209E0
7.792804633E1,2.870673310E1,1.159059109E2,7.791313548E1,0.000000000E0,0.000000000E0,1.099233532E1,4.743422985E0
7.892235648E1,2.870673385E1,1.159059110E2,7.784428948E1,0.000000000E0,0.000000000E0,1.097220612E1,4.463643074E0
7.992500888E1,2.870673218E1,1.159059127E2,7.810917252E1,0.000000000E0,0.000000000E0,1.094344616E1,4.553464890E0
8.092559742E1,2.870673103E1,1.159059091E2,7.787211953E1,0.000000000E0,0.000000000E0,1.095060921E1,4.679374695E0
8.192062580E1,2.870673488E1,1.159059092E2,7.761529403E1,0.000000000E0,0.000000000E0,1.096451855E1,4.779510498E0
8.292035377E1,2.870673739E1,1.159059114E2,7.762933245E1,0.000000000E0,0.000000000E0,1.107976151E1,4.979431152E0
8.392363643E1,2.870674034E1,1.159059120E2,7.732343061E1,0.000000000E0,0.000000000E0,1.112313080E1,5.125125885E0
8.492118419E1,2.870673665E1,1.159059145E2,7.723546118E1,0.000000000E0,0.000000000E0,1.101567364E1,5.323459625E0
8.592513997E1,2.870673726E1,1.159059158E2,7.715153554E1,0.000000000E0,0.000000000E0,1.101254940E1,5.435042858E0
8.692329117E1,2.870673863E1,1.159059133E2,7.694750626E1,0.000000000E0,0.000000000E0,1.107560635E1,5.572331429E0
8.792448523E1,2.870673917E1,1.159059133E2,7.675970261E1,0.000000000E0,0.000000000E0,1.128300858E1,5.777330875E0
8.892484898E1,2.870674176E1,1.159059147E2,7.666992290E1,0.000000000E0,0.000000000E0,1.130146503E1,5.647501469E0
8.992424705E1,2.870673799E1,1.159059190E2,7.633664754E1,0.000000000E0,0.000000000E0,1.119356632E1,5.475993156E0
9.092183986E1,2.870674043E1,1.159059196E2,7.612534869E1,0.000000000E0,0.000000000E0,1.120981503E1,5.611682892E0
9.192163293E1,2.870674062E1,1.159059191E2,7.612461840E1,0.000000000E0,0.000000000E0,1.145192242E1,5.936409950E0
9.292201590E1,2.870674049E1,1.159059196E2,7.617204090E1,0.000000000E0,0.000000000E0,1.182761288E1,6.249638081E0
9.392374220E1,2.870674084E1,1.159059178E2,7.609099254E1,0.000000000E0,0.000000000E0,1.224247551E1,6.578168869E0
9.492295361E1,2.870674137E1,1.159059180E2,7.616191610E1,0.000000000E0,0.000000000E0,1.280329800E1,6.898858070E0
9.592434976E1,2.870674197E1,1.159059203E2,7.615922550E1,0.000000000E0,0.000000000E0,1.327108574E1,7.014386177E0
9.692220054E1,2.870674667E1,1.159059247E2,7.587785306E1,0.000000000E0,0.000000000E0,1.348958111E1,7.064566135E0
