Time (s),Magnetic field x,Magnetic field y,Magnetic field z
1.62E+18,7.149199963,-56.33959961,-13.83479977
1.62E+18,7.246799946,-56.26639938,-13.76159954
1.62E+18,7.368799686,-56.25419998,-13.74940014
1.62E+18,7.515199661,-56.20539856,-13.74940014
1.62E+18,7.649399757,-56.11999893,-13.68839931
1.62E+18,7.807999611,-56.08340073,-13.54199982
1.62E+18,7.954400063,-55.96139908,-13.54199982
1.62E+18,8.125200272,-55.97359848,-13.5053997
1.62E+18,8.210599899,-55.94919968,-13.55420017
1.62E+18,8.27159977,-55.96139908,-13.5053997
1.62E+18,8.320400238,-55.96139908,-13.45660019
1.62E+18,8.405799866,-55.94919968,-13.48099995
1.62E+18,8.45459938,-55.88819885,-13.48099995
1.62E+18,8.515600204,-55.88819885,-13.5053997
1.62E+18,8.576600075,-55.88819885,-13.46879959
1.62E+18,8.600999832,-55.87599945,-13.43219948
1.62E+18,8.649800301,-55.86380005,-13.38339996
1.62E+18,8.68639946,-55.85160065,-13.42000008
1.62E+18,8.661999702,-55.80279922,-13.45660019
1.62E+18,8.637599945,-55.77840042,-13.45660019
1.62E+18,8.637599945,-55.81499863,-13.44439983
1.62E+18,8.588799477,-55.82719803,-13.54199982
1.62E+18,8.503399849,-55.82719803,-13.65180016
1.62E+18,8.491199493,-55.85160065,-13.76159954
1.62E+18,8.442399979,-55.79059982,-13.93239975
1.62E+18,8.418000221,-55.7173996,-14.06659985
1.62E+18,8.45459938,-55.69300079,-14.20079994
1.62E+18,8.466799736,-55.59539795,-14.26179981
1.62E+18,8.45459938,-55.59539795,-14.42039967
1.62E+18,8.503399849,-55.54660034,-14.54239941
1.62E+18,8.539999962,-55.54660034,-14.63999939
1.62E+18,8.539999962,-55.42459869,-14.84739971
1.62E+18,8.588799477,-55.38800049,-14.99380016
1.62E+18,8.649800301,-55.30259705,-15.31099987
1.62E+18,8.674200058,-55.16839981,-15.64039993
1.62E+18,8.710800171,-55.07080078,-15.99419975
1.62E+18,8.759599686,-54.87559891,-16.33580017
1.62E+18,8.845000267,-54.72919846,-16.7262001
1.62E+18,8.857199669,-54.50959778,-17.12879944
1.62E+18,8.906000137,-54.30220032,-17.53139877
1.62E+18,8.930399895,-54.07040024,-17.98279953
1.62E+18,8.918199539,-53.89959717,-18.42199898
