Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
3.785366350E-1,-3.164188862E-1,2.935121059E-1,-1.246128440E0,1.318751818E0
3.809385620E-1,-3.274141252E-1,2.971771955E-1,-1.233911514E0,1.310744796E0
3.833413750E-1,-3.335226178E-1,2.983988822E-1,-1.221694469E0,1.301082859E0
3.857448640E-1,-3.396310806E-1,2.971771955E-1,-1.207034230E0,1.288640830E0
3.881475720E-1,-3.445178568E-1,2.947337925E-1,-1.191152096E0,1.274521038E0
3.905495000E-1,-3.506263196E-1,2.861819267E-1,-1.176491857E0,1.260544327E0
3.929522080E-1,-3.518480062E-1,2.764083743E-1,-1.158166409E0,1.241590931E0
3.953558020E-1,-3.542914093E-1,2.641914487E-1,-1.139840961E0,1.222520732E0
3.977584580E-1,-3.530697227E-1,2.483094037E-1,-1.122737288E0,1.202852779E0
4.001603850E-1,-3.518480062E-1,2.348707765E-1,-1.103190184E0,1.181520157E0
4.025631970E-1,-3.481829464E-1,2.153236568E-1,-1.084864736E0,1.159537466E0
4.049666870E-1,-3.408527672E-1,1.945548505E-1,-1.067761064E0,1.137605330E0
4.073693430E-1,-3.347443044E-1,1.750077456E-1,-1.049435616E0,1.115345943E0
4.097713220E-1,-3.237490356E-1,1.517955512E-1,-1.031110168E0,1.091349396E0
4.121740310E-1,-3.115321100E-1,1.273616552E-1,-1.015228152E0,1.069561334E0
4.145776250E-1,-2.968717813E-1,9.926267713E-2,-9.981244206E-1,1.046058456E0
4.169802810E-1,-2.858765125E-1,6.994201243E-2,-9.834640622E-1,1.026556782E0
4.193822080E-1,-2.675510943E-1,4.428642616E-2,-9.675820470E-1,1.004868097E0
4.217850200E-1,-2.528907657E-1,2.229592577E-2,-9.504783154E-1,9.837986967E-1
4.241885100E-1,-2.370087355E-1,3.970507067E-3,-9.370396733E-1,9.665569073E-1
4.265912180E-1,-2.211267054E-1,-1.068982668E-2,-9.223793745E-1,9.485752489E-1
4.289931450E-1,-2.052446753E-1,-2.168507688E-2,-9.089407325E-1,9.320777191E-1
4.313958540E-1,-1.893626451E-1,-2.779355086E-2,-8.967237473E-1,9.169210281E-1
4.337994470E-1,-1.734806150E-1,-3.268032894E-2,-8.845068216E-1,9.019511324E-1
4.362021040E-1,-1.588202864E-1,-3.268032894E-2,-8.722898960E-1,8.872325230E-1
4.386040310E-1,-1.441599578E-1,-3.145863488E-2,-8.625163436E-1,8.750463885E-1
4.410068430E-1,-1.331647038E-1,-2.779355086E-2,-8.527427912E-1,8.635250939E-1
4.434103330E-1,-1.197260618E-1,-2.290677279E-2,-8.441908956E-1,8.529462575E-1
4.458130410E-1,-1.087308154E-1,-1.557660475E-2,-8.356390595E-1,8.428271820E-1
4.482149680E-1,-9.773556143E-2,-1.068982668E-2,-8.283088803E-1,8.341235601E-1
4.506176770E-1,-8.918370306E-2,-5.803049076E-3,-8.222004175E-1,8.270434903E-1
4.530212700E-1,-7.941014320E-2,3.054236295E-4,-8.148702383E-1,8.187304620E-1
4.554239270E-1,-7.330167294E-2,2.748812549E-3,-8.087617755E-1,8.120814619E-1
4.578259060E-1,-6.719319522E-2,1.527118147E-3,-8.014315963E-1,8.042449012E-1
4.602286140E-1,-6.108472496E-2,3.054236295E-4,-7.928797603E-1,7.952293701E-1
4.626321560E-1,-5.741964281E-2,-2.137965523E-3,-7.855495811E-1,7.876482277E-1
4.650348640E-1,-5.131116882E-2,-8.246437646E-3,-7.769976854E-1,7.787337433E-1
4.674367910E-1,-4.886778072E-2,-1.679829881E-2,-7.672241330E-1,7.689623613E-1
4.698395000E-1,-4.520269856E-2,-2.779355086E-2,-7.562289238E-1,7.580883528E-1
4.722430930E-1,-4.520269856E-2,-4.123219103E-2,-7.440119386E-1,7.465233702E-1
4.746457500E-1,-4.031591862E-2,-5.711421743E-2,-7.305732965E-1,7.339105863E-1
4.770476770E-1,-4.275930673E-2,-7.421794534E-2,-7.171346545E-1,7.222318010E-1
4.794504890E-1,-4.398100078E-2,-9.376505762E-2,-7.024743557E-1,7.100679086E-1
4.818539790E-1,-4.153761268E-2,-1.145338640E-1,-6.890357137E-1,6.997239413E-1
4.842566870E-1,-4.520269856E-2,-1.340809762E-1,-6.743753552E-1,6.890595852E-1
4.866586140E-1,-4.764608666E-2,-1.475196183E-1,-6.560499668E-1,6.741170123E-1
4.890613220E-1,-4.886778072E-2,-1.585148573E-1,-6.377245188E-1,6.589442934E-1
4.914649160E-1,-5.375456065E-2,-1.634016484E-1,-6.206207871E-1,6.440184880E-1
4.938675720E-1,-5.497625470E-2,-1.621799469E-1,-6.022953987E-1,6.261664883E-1
4.962695000E-1,-6.230641901E-2,-1.560714692E-1,-5.803049207E-1,6.041474938E-1
4.986723120E-1,-6.597150117E-2,-1.462979168E-1,-5.558710098E-1,5.785740220E-1
5.010758020E-1,-7.207997888E-2,-1.340809762E-1,-5.338805318E-1,5.551591247E-1
5.034785100E-1,-7.574506104E-2,-1.206423342E-1,-5.106683373E-1,5.301641612E-1
5.058804370E-1,-7.941014320E-2,-1.047603041E-1,-4.886777997E-1,5.060500806E-1
5.082831450E-1,-8.307522535E-2,-9.498675168E-2,-4.666872919E-1,4.834470027E-1
5.106867390E-1,-8.429691941E-2,-8.399149776E-2,-4.446968138E-1,4.603431313E-1
5.130893950E-1,-8.551861346E-2,-7.543963939E-2,-4.227063060E-1,4.378186766E-1
5.154913750E-1,-8.796200156E-2,-6.933116168E-2,-4.031592011E-1,4.184273714E-1
5.178940830E-1,-8.674030751E-2,-6.688777357E-2,-3.823903799E-1,3.977691012E-1
5.202976250E-1,-8.674030751E-2,-6.688777357E-2,-3.616215885E-1,3.778465673E-1
5.227003330E-1,-8.796200156E-2,-6.566607952E-2,-3.432961702E-1,3.604186569E-1
5.251022600E-1,-8.307522535E-2,-6.688777357E-2,-3.237490356E-1,3.408649371E-1
5.275049680E-1,-8.307522535E-2,-6.933116168E-2,-3.054236174E-1,3.240245193E-1
5.299085620E-1,-8.063183725E-2,-7.421794534E-2,-2.883199155E-1,3.084447605E-1
5.323112180E-1,-7.818844914E-2,-8.154810965E-2,-2.699944973E-1,2.926782471E-1
5.347131450E-1,-7.818844914E-2,-9.498675168E-2,-2.565558553E-1,2.845291258E-1
5.371159580E-1,-7.330167294E-2,-1.084253863E-1,-2.418955117E-1,2.750320677E-1
5.395194470E-1,-6.963659078E-2,-1.267508119E-1,-2.284568697E-1,2.703841053E-1
5.419221560E-1,-6.597150117E-2,-1.475196183E-1,-2.186833173E-1,2.719129824E-1
5.443240830E-1,-6.352811307E-2,-1.719534993E-1,-2.076880634E-1,2.770165315E-1
5.467267910E-1,-6.230641901E-2,-1.963873953E-1,-2.015796006E-1,2.882437063E-1
5.491303850E-1,-5.864133686E-2,-2.220429778E-1,-1.942494214E-1,3.007901728E-1
5.515330410E-1,-5.619794875E-2,-2.476985604E-1,-1.869192570E-1,3.153594693E-1
5.539349680E-1,-5.619794875E-2,-2.745758295E-1,-1.820324808E-1,3.341944339E-1
5.563377810E-1,-5.741964281E-2,-2.965663373E-1,-1.783674061E-1,3.508041325E-1
5.587412700E-1,-6.352811307E-2,-3.222219348E-1,-1.734806150E-1,3.714274091E-1
5.611439790E-1,-6.963659078E-2,-3.466558158E-1,-1.698155403E-1,3.922458759E-1
5.635459060E-1,-7.696675509E-2,-3.686463237E-1,-1.649287641E-1,4.111270978E-1
5.659486140E-1,-8.551861346E-2,-3.906368315E-1,-1.624853760E-1,4.316388129E-1
5.683522080E-1,-9.773556143E-2,-4.150707126E-1,-1.600419879E-1,4.554661066E-1
5.707548640E-1,-1.111742035E-1,-4.358395338E-1,-1.539335102E-1,4.754064874E-1
5.731568430E-1,-1.233911440E-1,-4.566083252E-1,-1.527118087E-1,4.970286044E-1
5.755595520E-1,-1.380514801E-1,-4.761554301E-1,-1.478250325E-1,5.173339782E-1
5.779630930E-1,-1.539335102E-1,-4.957025647E-1,-1.429382563E-1,5.383752440E-1
5.803658020E-1,-1.710372269E-1,-5.140279531E-1,-1.380514801E-1,5.590498017E-1
5.827677290E-1,-1.918060333E-1,-5.335750580E-1,-1.319430023E-1,5.821519155E-1
5.851704370E-1,-2.064663768E-1,-5.531222224E-1,-1.258345395E-1,6.036612370E-1
5.875740310E-1,-2.247917950E-1,-5.690042377E-1,-1.197260618E-1,6.234031628E-1
5.899766870E-1,-2.406738251E-1,-5.861079693E-1,-1.148392856E-1,6.439211934E-1
5.923786140E-1,-2.614426315E-1,-6.032116413E-1,-1.099525094E-1,6.665628913E-1
5.947814270E-1,-2.761029601E-1,-6.190937161E-1,-1.050657257E-1,6.859655098E-1
5.971849160E-1,-2.907632887E-1,-6.349757314E-1,-1.038440317E-1,7.060602329E-1
5.995876250E-1,-3.066453338E-1,-6.508577466E-1,-1.038440317E-1,7.269324246E-1
6.019895520E-1,-3.213056624E-1,-6.667397618E-1,-1.038440317E-1,7.473706053E-1
6.043922600E-1,-3.396310806E-1,-6.838434935E-1,-1.050657257E-1,7.707334177E-1
6.067958540E-1,-3.567348123E-1,-6.985038519E-1,-1.099525094E-1,7.919955251E-1
6.091985100E-1,-3.726168275E-1,-7.119424939E-1,-1.160609797E-1,8.118962777E-1
6.116004370E-1,-3.933856487E-1,-7.204943299E-1,-1.258345395E-1,8.304809928E-1
6.140032500E-1,-4.129327536E-1,-7.302678823E-1,-1.368297935E-1,8.500159006E-1
6.164067390E-1,-4.324798584E-1,-7.351546884E-1,-1.502684206E-1,8.660668808E-1
6.188094470E-1,-4.544703662E-1,-7.400414348E-1,-1.649287641E-1,8.839717960E-1
6.212113750E-1,-4.789042473E-1,-7.400414348E-1,-1.820324808E-1,9.000813448E-1
