,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2016-02-08 18:29:13.656222,0.92213404,3.03350091,9.75553799
2016-02-08 18:29:13.906222,0.97238332,3.01435828,9.67657471
2016-02-08 18:29:14.156222,1.01306129,3.03589368,9.62871838
2016-02-08 18:29:14.406222,1.06091774,3.04307222,9.58295536
2016-02-08 18:29:14.656222,1.1183455,3.04546499,9.51595688
2016-02-08 18:29:14.906222,1.15663064,3.05742908,9.47527885
2016-02-08 18:29:15.156222,1.19491577,3.02632237,9.39153004
2016-02-08 18:29:15.406222,1.29332066,3.04785776,9.3245306
2016-02-08 18:29:15.656222,1.31964171,3.03828645,9.26949596
2016-02-08 18:29:15.906222,1.35553408,3.05025077,9.18574715
2016-02-08 18:29:16.156222,1.41296172,3.05264354,9.13310528
2016-02-08 18:29:16.406222,1.47756803,3.07178617,9.08524895
2016-02-08 18:29:16.656222,1.53260291,3.0765717,9.01077175
2016-02-08 18:29:16.906222,1.57088804,3.06700039,8.96530819
2016-02-08 18:29:17.156222,1.64027989,3.07896447,8.88873768
2016-02-08 18:29:17.406222,1.68335068,3.10289288,8.85284519
2016-02-08 18:29:17.656222,1.72881436,3.12442827,8.81695366
2016-02-08 18:29:17.906222,1.75752819,3.11246395,8.77388287
2016-02-08 18:29:18.156222,1.78145647,3.12203527,8.75234699
2016-02-08 18:29:18.406222,1.80538464,3.11724973,8.74516869
2016-02-08 18:29:18.656222,1.80807662,3.10289288,8.72124004
2016-02-08 18:29:18.906222,1.81046939,3.1196425,8.72841835
2016-02-08 18:29:19.156222,1.81525505,3.10289288,8.71166897
2016-02-08 18:29:19.406222,1.8415761,3.08375025,8.74277592
2016-02-08 18:29:19.656222,1.83918333,3.06460762,8.74277592
2016-02-08 18:29:19.906222,1.84636176,3.06221485,8.73320484
2016-02-08 18:29:20.156222,1.8415761,3.05503631,8.76431084
2016-02-08 18:29:20.406222,1.82243359,3.03589368,8.79781056
2016-02-08 18:29:20.656222,1.78145647,3.02153683,8.81934643
2016-02-08 18:29:20.906222,1.73838568,2.99760866,8.86002445
2016-02-08 18:29:21.156222,1.68813634,2.9808588,8.90070248
2016-02-08 18:29:21.406222,1.62592304,2.95693064,8.97727203
2016-02-08 18:29:21.656222,1.60438764,2.94257355,9.01555729
2016-02-08 18:29:21.906222,1.57328093,2.93300247,9.06371307
2016-02-08 18:29:22.156222,1.5541383,2.92582393,9.14267635
2016-02-08 18:29:22.406222,1.54935265,2.9282167,9.18335438
2016-02-08 18:29:22.656222,1.51585317,2.88753867,9.23121071
2016-02-08 18:29:22.906222,1.51824594,2.87796736,9.25274563
2016-02-08 18:29:23.156222,1.51106751,2.84925365,9.28624535
2016-02-08 18:29:23.406222,1.51106751,2.85882497,9.32213783
