Time (s),Illuminance (lx)
1.622622131181332e+18,16.29999924
1.6226221313813307e+18,17.29999924
1.622622131581316e+18,17.79999924
1.6226221317813097e+18,19.10000038
1.622622131981332e+18,19.60000038
1.6226221321813327e+18,21.39999962
1.6226221323813253e+18,23.89999962
1.6226221325813076e+18,26.89999962
1.6226221327813325e+18,25.20000076
1.6226221329813322e+18,23.70000076
1.6226221331813184e+18,23.0
1.62262213338131e+18,21.60000038
1.622622133581332e+18,22.89999962
1.622622133781331e+18,28.89999962
1.622622133981309e+18,23.89999962
1.6226221341813125e+18,24.29999924
1.6226221343813304e+18,25.5
1.6226221345813335e+18,25.39999962
1.6226221347813112e+18,24.29999924
1.6226221349813166e+18,23.5
1.6226221351813322e+18,23.60000038
1.622622135381332e+18,23.89999962
1.6226221355813197e+18,23.89999962
1.6226221357813102e+18,24.10000038
1.6226221359813325e+18,23.20000076
1.6226221361813312e+18,23.10000038
1.6226221363813435e+18,22.10000038
1.6226221365813107e+18,21.20000076
1.6226221367813322e+18,20.10000038
1.6226221369813332e+18,21.5
1.6226221371813453e+18,24.70000076
1.6226221373813097e+18,29.79999924
1.6226221375812547e+18,31.29999924
1.6226221377813348e+18,32.40000153
1.6226221379813476e+18,33.09999847
1.6226221381813166e+18,33.0
1.6226221383813294e+18,28.20000076
1.6226221385813335e+18,23.29999924
1.6226221387813322e+18,20.89999962
1.6226221389813102e+18,19.60000038
1.6226221391813312e+18,19.29999924
1.622622139381333e+18,20.10000038
1.6226221395813338e+18,20.20000076
1.6226221397813092e+18,19.5
1.622622139981333e+18,20.60000038
1.6226221401813292e+18,21.70000076
1.622622140381333e+18,21.89999962
1.6226221405813094e+18,21.29999924
1.6226221407813315e+18,20.5
1.622622140981334e+18,20.5
1.6226221411813297e+18,20.5
1.6226221413813092e+18,20.20000076
1.6226221415813304e+18,19.89999962
1.622622141781332e+18,20.10000038
1.6226221419813338e+18,21.0
1.6226221421813097e+18,20.89999962
1.6226221423813294e+18,21.60000038
1.6226221425813327e+18,22.39999962
1.6226221427813327e+18,22.70000076
1.6226221429813115e+18,22.10000038
1.6226221431813304e+18,21.89999962
1.6226221433813292e+18,21.39999962
1.6226221435813332e+18,21.5
1.622622143781317e+18,21.60000038
1.6226221439813097e+18,21.39999962
1.622622144181341e+18,21.10000038
1.622622144381333e+18,21.79999924
1.622622144581318e+18,21.39999962
1.6226221447813304e+18,21.39999962
1.6226221449813363e+18,21.20000076
1.6226221451813312e+18,21.0
1.6226221453813102e+18,21.60000038
1.6226221455813312e+18,24.60000038
1.6226221457813335e+18,32.59999847
1.6226221459813327e+18,114.1999969
1.6226221461813169e+18,337.7000122
1.6226221462813297e+18,344.2999878
1.6226221464813473e+18,337.5
1.6226221466813107e+18,312.7000122
1.622622146881332e+18,286.2000122
1.622622147081333e+18,263.7000122
1.6226221472813484e+18,222.8000031
1.622622147481321e+18,172.1999969
1.6226221476813297e+18,127.5999985
1.622622147881333e+18,94.59999847
1.622622148081332e+18,75.80000305
1.6226221482813102e+18,67.90000153
1.6226221484813292e+18,51.90000153
1.622622148681331e+18,30.79999924
1.6226221488813335e+18,23.0
1.6226221490813059e+18,21.29999924
1.6226221492813315e+18,20.79999924
1.622622149481333e+18,20.70000076
1.6226221496813315e+18,20.60000038
1.6226221498813043e+18,20.89999962
1.6226221500813304e+18,23.10000038
1.6226221502813317e+18,22.5
1.6226221504813338e+18,22.0
1.6226221506813117e+18,21.60000038
1.6226221508813297e+18,21.29999924
1.6226221510813327e+18,21.5
1.6226221512813338e+18,20.89999962
1.6226221514813097e+18,20.89999962
1.6226221516813286e+18,21.39999962
1.6226221518813325e+18,21.5
1.6226221520813332e+18,22.20000076
1.622622152281318e+18,22.39999962
1.6226221524813315e+18,22.29999924
1.6226221526813294e+18,22.39999962
1.62262215288133e+18,22.0
1.622622153081317e+18,21.60000038
1.6226221532813294e+18,21.60000038
1.6226221534813325e+18,21.29999924
1.6226221536813304e+18,21.10000038
1.622622153881304e+18,21.5
1.6226221540813212e+18,21.5
1.622622154281323e+18,21.20000076
1.6226221544813038e+18,21.60000038
1.622622154681318e+18,21.60000038
1.6226221548813202e+18,21.60000038
1.6226221550813235e+18,22.20000076
1.622622155281303e+18,21.79999924
1.6226221554813025e+18,22.10000038
1.6226221556813181e+18,22.10000038
1.6226221558813233e+18,22.20000076
1.622622156081304e+18,22.39999962
1.6226221562813181e+18,22.0
1.6226221564813212e+18,22.10000038
1.6226221566813174e+18,21.89999962
1.6226221568813263e+18,21.70000076
1.622622157081303e+18,22.10000038
1.6226221572813327e+18,22.29999924
1.6226221574813204e+18,22.10000038
1.6226221576813335e+18,22.39999962
1.6226221578813028e+18,22.39999962
1.6226221580813215e+18,22.70000076
1.62262215828132e+18,22.89999962
1.6226221584813335e+18,22.39999962
1.6226221586813025e+18,22.39999962
1.6226221588813204e+18,22.39999962
1.6226221590813204e+18,22.29999924
1.6226221592813207e+18,22.60000038
1.622622159481305e+18,22.79999924
1.6226221596813184e+18,22.89999962
1.622622159881321e+18,22.79999924
1.6226221600813212e+18,22.70000076
1.6226221602813043e+18,22.39999962
1.622622160481322e+18,21.70000076
1.622622160681318e+18,21.39999962
1.6226221608813253e+18,21.5
1.622622161081305e+18,21.89999962
1.6226221612813222e+18,22.39999962
1.6226221614813222e+18,22.60000038
1.6226221616813174e+18,21.89999962
1.6226221618813e+18,21.89999962
1.6226221620813207e+18,22.0
1.6226221622813207e+18,22.39999962
1.6226221624813222e+18,22.60000038
1.6226221626813097e+18,22.79999924
1.6226221628813258e+18,22.89999962
1.622622163081322e+18,23.0
1.622622163281321e+18,23.0
1.6226221634813036e+18,23.29999924
1.6226221636813174e+18,23.29999924
1.6226221638813435e+18,22.79999924
1.6226221640813204e+18,22.39999962
1.6226221642813038e+18,22.20000076
1.6226221644813176e+18,22.20000076
1.6226221646813174e+18,21.89999962
1.6226221648813225e+18,21.60000038
1.6226221650813036e+18,21.60000038
1.622622165281319e+18,21.10000038
1.622622165481321e+18,20.79999924
1.622622165681319e+18,21.0
1.6226221658813038e+18,20.89999962
1.622622166081319e+18,21.0
1.6226221662813204e+18,21.60000038
1.6226221664813297e+18,21.39999962
1.6226221666813046e+18,21.0
1.6226221668813181e+18,21.0
1.6226221670813202e+18,20.79999924
1.6226221672813233e+18,21.10000038
1.622622167481304e+18,20.70000076
1.622622167681317e+18,20.70000076
1.6226221678813207e+18,20.39999962
1.6226221680813217e+18,20.39999962
1.6226221682813105e+18,20.20000076
1.622622168481319e+18,20.79999924
1.6226221686813184e+18,21.10000038
1.6226221688813238e+18,20.79999924
1.6226221690813038e+18,20.79999924
1.622622169281317e+18,21.0
1.6226221693813235e+18,21.60000038
1.6226221695813076e+18,22.39999962
1.622622169781321e+18,22.29999924
1.622622169981303e+18,21.70000076
1.6226221701813204e+18,20.79999924
1.6226221703813036e+18,20.5
1.6226221705813212e+18,20.39999962
1.6226221707813217e+18,20.29999924
1.6226221709813215e+18,20.0
1.6226221711813046e+18,19.89999962
1.6226221713813192e+18,20.0
1.622622171581321e+18,20.0
1.622622171781323e+18,19.70000076
1.6226221719813036e+18,20.0
1.6226221721813184e+18,20.5
1.6226221723813215e+18,20.60000038
1.622622172581322e+18,20.79999924
1.6226221727813033e+18,21.5
1.622622172981318e+18,21.60000038
1.622622173181317e+18,22.20000076
