"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.944987981E1,2.869022208E1,1.158781193E2,1.866221092E1,1.418609619E1,1.218000031E1,2.066000061E2,3.259748257E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.045657372E1,2.869012151E1,1.158780612E2,1.845239004E1,1.397637939E1,1.246000004E1,2.060000000E2,3.384290161E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.145274341E1,2.869002149E1,1.158780038E2,1.860884066E1,1.413293457E1,1.250000000E1,2.051000061E2,3.515394426E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.245080325E1,2.868991572E1,1.158779444E2,1.847225134E1,1.399645996E1,1.290999985E1,2.053000031E2,3.650570471E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.345364445E1,2.868980605E1,1.158778846E2,1.831477835E1,1.383911133E1,1.311999989E1,2.060000000E2,3.782979163E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.445434507E1,2.868969891E1,1.158778253E2,1.804677606E1,1.357122803E1,1.318000031E1,2.045000000E2,3.917705989E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.545077637E1,2.868958916E1,1.158777668E2,1.821125945E1,1.373583984E1,1.314999962E1,2.048999939E2,4.052592487E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.645008466E1,2.868947793E1,1.158777116E2,1.844707872E1,1.397180176E1,1.323999977E1,2.036999969E2,4.183314120E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.745019085E1,2.868936936E1,1.158776602E2,1.863406584E1,1.415893555E1,1.303999996E1,2.018999939E2,4.313922410E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.844765892E1,2.868925984E1,1.158776118E2,1.895428096E1,1.447930908E1,1.303999996E1,2.003000031E2,4.438532827E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.945194768E1,2.868915428E1,1.158775690E2,1.880134594E1,1.432653809E1,1.272999954E1,1.996000061E2,4.565007410E-1,3.881365776E0,2.627053976E0,3.400000000E1
9.045217424E1,2.868904705E1,1.158775257E2,1.904806554E1,1.457342529E1,1.252999973E1,1.968999939E2,4.683838788E-1,3.790092468E0,2.674776793E0,3.200000000E1
9.144900231E1,2.868894432E1,1.158774922E2,1.966342077E1,1.518896484E1,1.210999966E1,1.968000031E2,4.797917585E-1,3.790092468E0,2.628639460E0,3.100000000E1
9.244991705E1,2.868884657E1,1.158774566E2,1.947368096E1,1.499938965E1,1.165999985E1,1.953999939E2,4.908850441E-1,3.790092468E0,2.509763479E0,3.200000000E1
9.344968663E1,2.868875006E1,1.158774278E2,1.995860698E1,1.548449707E1,1.107999992E1,1.940000000E2,5.010203363E-1,3.790092468E0,2.500000000E0,3.200000000E1
9.445336304E1,2.868866232E1,1.158773997E2,2.008723215E1,1.561328125E1,1.002999973E1,1.916999969E2,5.100108497E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.545062215E1,2.868858354E1,1.158773789E2,2.054795214E1,1.607415771E1,8.989999771E0,1.923000031E2,5.186117507E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.645381908E1,2.868850799E1,1.158773600E2,2.058173467E1,1.610809326E1,8.399999619E0,1.911999969E2,5.267257151E-1,3.790092468E0,2.526520967E0,3.000000000E1
9.745279439E1,2.868843676E1,1.158773420E2,2.080693289E1,1.633343506E1,7.980000019E0,1.925000000E2,5.348391385E-1,3.790092468E0,2.691892624E0,2.900000000E1
9.845350595E1,2.868836564E1,1.158773234E2,2.083810226E1,1.636474609E1,8.029999733E0,1.923000031E2,5.428855107E-1,3.790092468E0,2.728065491E0,2.900000000E1
9.944883293E1,2.868829460E1,1.158773077E2,2.084491009E1,1.637170410E1,7.980000019E0,1.918999939E2,5.505900238E-1,3.790092468E0,2.895421505E0,2.800000000E1
1.004497453E2,2.868822675E1,1.158772917E2,2.060093427E1,1.612786865E1,7.929999828E0,1.918999939E2,5.591494884E-1,3.861664772E0,3.280766010E0,2.800000000E1
1.014481321E2,2.868815287E1,1.158772670E2,2.015597899E1,1.568304443E1,8.210000038E0,1.923999939E2,5.686105051E-1,4.043180943E0,3.614751816E0,2.800000000E1
1.024517729E2,2.868807034E1,1.158772434E2,2.050927528E1,1.603649902E1,9.239999771E0,1.923999939E2,5.781369319E-1,3.790092468E0,3.405006647E0,2.800000000E1
1.034507537E2,2.868798713E1,1.158772202E2,2.024763945E1,1.577502441E1,9.859999657E0,1.931000061E2,5.888513151E-1,3.790092468E0,3.392544031E0,2.800000000E1
1.044530356E2,2.868789266E1,1.158771986E2,1.977063536E1,1.529821777E1,1.031999969E1,1.923000031E2,5.998584492E-1,3.790092468E0,3.367767334E0,2.600000000E1
1.054522570E2,2.868779649E1,1.158771718E2,1.927441592E1,1.480218506E1,1.085999966E1,1.931000061E2,6.114261281E-1,3.790092468E0,3.431046724E0,2.700000000E1
1.064520209E2,2.868769545E1,1.158771436E2,1.924107805E1,1.476904297E1,1.131999969E1,1.936000061E2,6.237044317E-1,3.790092468E0,3.381972075E0,2.700000000E1
1.074481639E2,2.868758770E1,1.158771161E2,1.865565638E1,1.418383789E1,1.178999996E1,1.926999969E2,6.359429045E-1,3.790092468E0,3.364897490E0,2.800000000E1
1.084498843E2,2.868747945E1,1.158770934E2,1.769766010E1,1.322607422E1,1.177000046E1,1.920000000E2,6.476784464E-1,3.790092468E0,3.339609146E0,2.600000000E1
1.094548566E2,2.868737649E1,1.158770670E2,1.745312984E1,1.298175049E1,1.168999958E1,1.910000000E2,6.587937525E-1,3.790092468E0,3.226687670E0,2.700000000E1
1.104537799E2,2.868727877E1,1.158770430E2,1.679063803E1,1.231945801E1,1.072000027E1,1.903999939E2,6.684183541E-1,3.790092468E0,3.194708109E0,2.800000000E1
1.114459274E2,2.868719398E1,1.158770231E2,1.651446109E1,1.204345703E1,9.510000229E0,1.900000000E2,6.767485672E-1,3.790092468E0,3.150532246E0,2.700000000E1
1.124526267E2,2.868712043E1,1.158770069E2,1.602123301E1,1.155038452E1,8.250000000E0,1.900000000E2,6.838008154E-1,3.790092468E0,3.088274479E0,2.600000000E1
1.134470017E2,2.868705788E1,1.158769949E2,1.588874037E1,1.141802979E1,6.980000019E0,1.888000031E2,6.897395325E-1,3.790092468E0,3.062178135E0,2.700000000E1
