,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
2/8/16 19:21,-0.023629123,3.632005692,9.14985466
2/8/16 19:21,-0.014057833,3.643969774,9.164211273
2/8/16 19:21,-0.033200413,3.612863064,9.180961609
2/8/16 19:22,0.002691926,3.627219915,9.171390533
2/8/16 19:22,0.005084748,3.608077526,9.185747147
2/8/16 19:22,0.019441685,3.60329175,9.183354378
2/8/16 19:22,0.043369912,3.60329175,9.185747147
2/8/16 19:22,0.038584266,3.608077526,9.188139915
2/8/16 19:22,0.067298137,3.593720436,9.159425735
2/8/16 19:22,0.107976124,3.60329175,9.168996811
2/8/16 19:22,0.136989102,3.600898981,9.152247429
2/8/16 19:22,0.151346028,3.591327667,9.109176636
2/8/16 19:22,0.189631194,3.565006733,9.135498047
2/8/16 19:22,0.187238365,3.58654213,9.14985466
2/8/16 19:22,0.249451757,3.555435419,9.140283585
2/8/16 19:22,0.268594354,3.555435419,9.135498047
2/8/16 19:22,0.268594354,3.562613726,9.137890816
2/8/16 19:22,0.278165638,3.543471336,9.130712509
2/8/16 19:22,0.290129751,3.526721478,9.147461891
2/8/16 19:22,0.299701035,3.50757885,9.14985466
2/8/16 19:22,0.282951266,3.512364626,9.161818504
2/8/16 19:22,0.290129751,3.50757885,9.142676353
2/8/16 19:22,0.285344094,3.478864908,9.147461891
2/8/16 19:22,0.261415869,3.447758436,9.161818504
2/8/16 19:22,0.259023041,3.457329512,9.185747147
2/8/16 19:22,0.23509483,3.44297266,9.195318222
2/8/16 19:22,0.247058943,3.431008577,9.173783302
2/8/16 19:22,0.230309174,3.44297266,9.185747147
2/8/16 19:22,0.196809664,3.423830032,9.17856884
2/8/16 19:22,0.206380948,3.407080412,9.176176071
2/8/16 19:22,0.206380948,3.399901867,9.152247429
2/8/16 19:22,0.22791636,3.419044495,9.135498047
2/8/16 19:22,0.22791636,3.428615808,9.123533249
2/8/16 19:22,0.22791636,3.450151205,9.082855225
2/8/16 19:22,0.22791636,3.459722519,9.068498611
2/8/16 19:22,0.230309174,3.464508057,9.032606125
2/8/16 19:22,0.223130718,3.47407937,9.005986214
