"Time (s)","Illuminance (lx)"
5.184430349E1,1.220000000E2
5.204433130E1,1.336000061E2
5.224433422E1,1.373999939E2
5.244433313E1,1.396000061E2
5.264431750E1,1.456000061E2
5.284432974E1,1.541000061E2
5.304433370E1,1.580000000E2
5.324433386E1,1.598999939E2
5.344430953E1,1.608999939E2
5.364432979E1,1.608000031E2
5.384433170E1,1.620000000E2
5.404433321E1,1.618999939E2
5.424430482E1,1.618000031E2
5.444433170E1,1.628000031E2
5.464433097E1,1.636999969E2
5.484433133E1,1.636000061E2
5.504430982E1,1.628999939E2
5.524432904E1,1.611000061E2
5.544432264E1,1.603000031E2
5.564430394E1,1.671000061E2
5.584431852E1,1.751000061E2
5.604432149E1,1.758999939E2
5.624432311E1,1.768999939E2
5.644431045E1,1.770000000E2
5.664431889E1,1.776999969E2
5.684431738E1,1.788999939E2
5.704432107E1,1.791999969E2
5.724430878E1,1.798999939E2
5.744431894E1,1.796000061E2
5.764432008E1,1.800000000E2
5.784434868E1,1.806999969E2
5.804431123E1,1.801000061E2
5.824431743E1,1.808999939E2
5.844432217E1,1.810000000E2
5.864431743E1,1.836000061E2
5.884431133E1,1.858999939E2
5.904430227E1,1.873999939E2
5.924432212E1,1.898999939E2
5.944432295E1,1.926999969E2
5.964430331E1,1.915000000E2
5.984430238E1,1.918999939E2
6.004432081E1,1.916999969E2
6.024432498E1,1.981000061E2
6.044430451E1,2.090000000E2
6.064430258E1,2.335000000E2
6.084431878E1,2.215000000E2
6.104432253E1,1.133000031E2
6.124431274E1,7.509999847E1
6.144430362E1,5.300000000E1
6.164431826E1,4.640000153E1
6.184432102E1,3.850000000E1
6.204432904E1,2.900000000E1
6.224430222E1,2.400000000E1
6.244432186E1,1.860000038E1
6.294432206E1,1.550000000E1
6.314432081E1,1.389999962E1
6.334430936E1,1.269999981E1
6.354431930E1,1.050000000E1
6.374432055E1,1.030000019E1
6.394432212E1,1.030000019E1
6.414430373E1,1.139999962E1
6.434431810E1,1.389999962E1
6.454432159E1,1.139999962E1
6.474432264E1,9.199999809E0
6.484431743E1,8.800000191E0
6.504432113E1,9.300000191E0
6.524432269E1,9.300000191E0
6.544430982E1,8.699999809E0
6.564431712E1,8.600000381E0
6.584431972E1,7.900000095E0
6.604432310E1,7.599999905E0
6.624430331E1,8.199999809E0
6.644433279E1,7.599999905E0
6.664431717E1,1.360000038E1
6.684431883E1,8.600000381E0
6.704430430E1,8.000000000E0
6.724432076E1,9.399999619E0
6.744432128E1,8.199999809E0
6.764432050E1,7.500000000E0
6.784430336E1,9.199999809E0
6.804432071E1,6.599999905E0
6.824432076E1,7.199999809E0
6.844432102E1,8.399999619E0
6.864430362E1,1.010000038E1
6.884431800E1,7.800000191E0
6.904432076E1,9.600000381E0
6.924432232E1,9.500000000E0
6.944430331E1,8.000000000E0
6.964431795E1,1.219999981E1
6.984431982E1,1.169999981E1
7.004432180E1,7.800000191E0
7.024430269E1,6.699999809E0
7.044431920E1,8.800000191E0
7.064432071E1,9.500000000E0
7.084431816E1,1.169999981E1
7.104430420E1,9.399999619E0
7.124431769E1,1.210000038E1
7.144432045E1,1.180000019E1
7.164431712E1,1.019999981E1
7.184430446E1,1.419999981E1
7.204431790E1,9.000000000E0
7.224432196E1,1.389999962E1
7.244432336E1,1.050000000E1
7.264431326E1,1.230000019E1
7.284431816E1,1.119999981E1
7.304432128E1,9.800000191E0
7.324432186E1,1.250000000E1
7.344431154E1,1.069999981E1
7.364431925E1,1.430000019E1
7.384431691E1,9.699999809E0
7.404434779E1,1.369999981E1
7.424430889E1,1.039999962E1
7.444431936E1,1.289999962E1
7.464431863E1,1.010000038E1
7.484431909E1,1.000000000E1
7.504430488E1,1.050000000E1
7.524431967E1,1.060000038E1
7.544432279E1,1.239999962E1
7.564431956E1,9.500000000E0
7.584430290E1,1.210000038E1
7.604430331E1,9.600000381E0
7.624432133E1,1.180000019E1
7.644432602E1,9.500000000E0
7.664430477E1,1.219999981E1
7.684431805E1,1.030000019E1
7.704431852E1,1.260000038E1
7.724432238E1,1.010000038E1
7.744430347E1,1.280000019E1
7.764430482E1,9.800000191E0
7.784431909E1,1.139999962E1
7.804432290E1,9.500000000E0
7.824430295E1,9.899999619E0
7.844432003E1,9.000000000E0
7.864426956E1,9.699999809E0
7.884432024E1,9.199999809E0
7.904430321E1,1.060000038E1
