"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.287240346E2,5.232971783E1,4.868632210E0,-8.976638319E0,1.159999967E0,2.529999924E1,1.286400032E1,1.200000000E1
1.297240351E2,5.232970027E1,4.868627000E0,-8.399822744E0,1.169999957E0,2.420000076E1,1.286400032E1,1.200000000E1
1.307240350E2,5.232968831E1,4.868624220E0,-7.481750342E0,1.289999962E0,2.450000000E1,1.286400032E1,1.200000000E1
1.317240350E2,5.232968056E1,4.868622920E0,-8.228038846E0,1.340000033E0,2.570000076E1,1.393600082E1,1.200000000E1
1.327240354E2,5.232967262E1,4.868620050E0,-9.009850975E0,1.309999943E0,2.870000076E1,1.393600082E1,1.200000000E1
1.337240352E2,5.232964603E1,4.868620810E0,-8.861938739E0,1.299999952E0,1.843000031E2,1.286400032E1,1.200000000E1
1.347240351E2,5.232962012E1,4.868621690E0,-1.096256063E1,1.330000043E0,3.120000076E1,1.393600082E1,1.600000000E1
1.357240347E2,5.232959671E1,4.868620650E0,-1.158313860E1,1.350000024E0,2.320000076E1,1.393600082E1,1.600000000E1
1.367240345E2,5.232956186E1,4.868605020E0,-1.158637040E1,1.289999962E0,2.103999939E2,1.393600082E1,1.600000000E1
1.377240349E2,5.232951169E1,4.868586530E0,-1.243020156E1,1.259999990E0,2.005000000E2,1.393600082E1,1.600000000E1
1.387240344E2,5.232945895E1,4.868571260E0,-1.445567513E1,1.279999971E0,1.928000031E2,1.286400032E1,1.200000000E1
1.397240351E2,5.232941587E1,4.868559470E0,-1.635814727E1,1.399999976E0,1.861999969E2,1.286400032E1,1.200000000E1
1.407240352E2,5.232935840E1,4.868544290E0,-1.753237011E1,1.490000010E0,1.850000000E2,1.286400032E1,1.200000000E1
1.417240348E2,5.232930522E1,4.868532410E0,-1.806815730E1,1.539999962E0,1.906000061E2,1.286400032E1,1.200000000E1
1.427240344E2,5.232925275E1,4.868526020E0,-1.922381339E1,1.590000033E0,1.791000061E2,1.286400032E1,1.200000000E1
1.437240351E2,5.232920132E1,4.868523890E0,-1.903553249E1,0.000000000E0,0.000000000E0,1.286400032E1,1.200000000E1
1.447240350E2,5.232916974E1,4.868530160E0,-1.839970909E1,1.620000005E0,1.786000061E2,1.179199982E1,1.200000000E1
1.457240352E2,5.232912856E1,4.868527600E0,-1.820653119E1,1.659999967E0,1.900000000E2,1.179199982E1,1.200000000E1
1.467240351E2,5.232908625E1,4.868524000E0,-1.663457130E1,1.649999976E0,2.088000031E2,1.179199982E1,1.200000000E1
1.477240353E2,5.232904415E1,4.868513460E0,-1.684813754E1,1.620000005E0,2.276999969E2,1.179199982E1,1.200000000E1
1.487240350E2,5.232900817E1,4.868497050E0,-1.660875663E1,1.629999995E0,2.590000000E2,1.286400032E1,1.200000000E1
1.497240354E2,5.232897825E1,4.868476740E0,-1.655723562E1,1.659999967E0,2.656000061E2,1.286400032E1,1.200000000E1
1.507240349E2,5.232895145E1,4.868461970E0,-1.603036526E1,1.240000010E0,2.662999878E2,1.286400032E1,1.200000000E1
1.517240346E2,5.232892786E1,4.868439460E0,-1.567390497E1,1.700000048E0,2.678999939E2,1.286400032E1,1.200000000E1
1.527240346E2,5.232891344E1,4.868414770E0,-1.525200332E1,1.710000038E0,2.691000061E2,1.286400032E1,1.200000000E1
1.537240345E2,5.232889433E1,4.868392760E0,-1.580422784E1,1.610000014E0,2.697000122E2,1.286400032E1,1.200000000E1
1.547240350E2,5.232883873E1,4.868359420E0,-1.523498918E1,1.470000029E0,2.682999878E2,1.286400032E1,1.200000000E1
1.557240352E2,5.232800757E1,4.867968840E0,6.840339458E0,4.599999905E0,2.817000122E2,1.072000027E1,8.000000000E0
1.567240352E2,5.232800786E1,4.867902760E0,6.554352433E0,4.539999962E0,2.793999939E2,1.179199982E1,8.000000000E0
1.577240350E2,5.232799489E1,4.867811750E0,5.916464842E0,5.130000114E0,2.660000000E2,1.179199982E1,1.200000000E1
1.587240350E2,5.232799403E1,4.867728870E0,5.041599421E0,4.969999790E0,2.687999878E2,1.072000027E1,1.200000000E1
1.597240352E2,5.232798594E1,4.867652360E0,4.522501389E0,3.869999886E0,2.686000061E2,1.072000027E1,1.200000000E1
