"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.042082377E2,5.233440229E1,4.867730440E0,8.452302896E1,0.000000000E0,0.000000000E0,3.859200287E1,3.200000000E1
1.052082377E2,5.233440229E1,4.867730440E0,8.451625406E1,0.000000000E0,0.000000000E0,3.752000046E1,3.200000000E1
1.062082378E2,5.233440227E1,4.867730430E0,8.450795324E1,0.000000000E0,0.000000000E0,3.644800186E1,3.200000000E1
1.072082370E2,5.233440223E1,4.867730340E0,8.450038477E1,0.000000000E0,0.000000000E0,3.644800186E1,2.400000000E1
1.082082378E2,5.233440223E1,4.867730320E0,8.450068994E1,0.000000000E0,0.000000000E0,3.644800186E1,2.400000000E1
1.092082374E2,5.233440229E1,4.867730290E0,8.450612213E1,0.000000000E0,0.000000000E0,3.966400146E1,3.200000000E1
1.102082373E2,5.233440230E1,4.867730280E0,8.450514558E1,0.000000000E0,0.000000000E0,4.180800247E1,3.200000000E1
1.112082380E2,5.233440226E1,4.867729920E0,8.446150518E1,0.000000000E0,0.000000000E0,4.395199966E1,3.200000000E1
1.122082374E2,5.233440221E1,4.867729490E0,8.443171971E1,0.000000000E0,0.000000000E0,4.716799927E1,3.200000000E1
1.132082377E2,5.233440213E1,4.867729040E0,8.435780576E1,0.000000000E0,0.000000000E0,5.360000229E1,4.800000000E1
1.142082374E2,5.233440210E1,4.867728810E0,8.430183635E1,0.000000000E0,0.000000000E0,5.788800049E1,4.800000000E1
1.152082379E2,5.233440212E1,4.867728610E0,8.427833773E1,0.000000000E0,0.000000000E0,6.217600250E1,4.800000000E1
1.162082377E2,5.233440213E1,4.867728130E0,8.419557380E1,0.000000000E0,0.000000000E0,6.860800171E1,4.800000000E1
1.172082379E2,5.233440218E1,4.867727880E0,8.415437499E1,0.000000000E0,0.000000000E0,7.075199890E1,4.800000000E1
1.182082372E2,5.233440217E1,4.867727370E0,8.408082732E1,0.000000000E0,0.000000000E0,7.396800232E1,4.800000000E1
1.192082377E2,5.233440220E1,4.867727050E0,8.405568070E1,0.000000000E0,0.000000000E0,6.860800171E1,4.800000000E1
1.202082374E2,5.233440169E1,4.867722760E0,8.372132694E1,0.000000000E0,0.000000000E0,6.431999969E1,4.800000000E1
1.212082379E2,5.233440158E1,4.867721760E0,8.370173393E1,0.000000000E0,0.000000000E0,6.003200150E1,4.800000000E1
1.222082380E2,5.233440156E1,4.867721340E0,8.368946559E1,0.000000000E0,0.000000000E0,5.360000229E1,4.800000000E1
1.232082373E2,5.233440151E1,4.867720790E0,8.364130847E1,0.000000000E0,0.000000000E0,5.145600128E1,4.800000000E1
1.242082377E2,5.233440149E1,4.867720330E0,8.358894002E1,0.000000000E0,0.000000000E0,4.716799927E1,3.200000000E1
1.252082377E2,5.233440142E1,4.867719860E0,8.352857588E1,0.000000000E0,0.000000000E0,4.609600067E1,3.200000000E1
1.262082380E2,5.233440137E1,4.867719530E0,8.348896380E1,0.000000000E0,0.000000000E0,4.502400208E1,3.200000000E1
1.272082376E2,5.233440134E1,4.867719430E0,8.348145638E1,0.000000000E0,0.000000000E0,4.502400208E1,3.200000000E1
1.282082370E2,5.233440139E1,4.867719440E0,8.345453995E1,0.000000000E0,0.000000000E0,4.609600067E1,3.200000000E1
1.292082369E2,5.233440144E1,4.867719290E0,8.342213027E1,0.000000000E0,0.000000000E0,4.609600067E1,3.200000000E1
1.302082379E2,5.233440153E1,4.867719200E0,8.340790915E1,0.000000000E0,0.000000000E0,5.038400269E1,3.200000000E1
