"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.264514542E0,2.199565768E-1,2.023031563E-1,1.198827863E0
2.274467542E0,5.423364788E-2,7.716974616E-2,1.133546591E0
2.284420542E0,-1.121598557E-1,-5.353420228E-2,1.064895868E0
2.294373542E0,-2.538970411E-1,-1.558744758E-1,9.910679460E-1
2.304326542E0,-3.716567159E-1,-1.896345615E-1,9.219967127E-1
2.314279542E0,-4.716120064E-1,-1.446278989E-1,8.759883046E-1
2.324232542E0,-5.143021941E-1,-1.081631109E-1,8.285640478E-1
2.334185542E0,-4.585506320E-1,-1.690327376E-1,7.730932236E-1
2.344137542E0,-3.289510906E-1,-2.812221050E-1,7.139132619E-1
2.354090542E0,-1.682634801E-1,-3.591862023E-1,6.192901134E-1
2.364043542E0,-1.787557825E-2,-3.847818673E-1,4.860596061E-1
2.373996542E0,1.239527240E-1,-3.465105593E-1,3.327006996E-1
2.383949542E0,2.606410682E-1,-2.328718752E-1,1.656328738E-1
2.393902542E0,4.013228714E-1,-4.471497983E-2,-3.634362947E-3
2.403855542E0,5.400376320E-1,2.097298205E-1,-1.451800466E-1
2.413808542E0,6.278556585E-1,5.236332417E-1,-2.340297401E-1
2.423761542E0,6.353279948E-1,8.914474845E-1,-2.522955537E-1
2.433714542E0,5.585530400E-1,1.210644245E0,-1.767854840E-1
2.443667542E0,4.352273643E-1,1.385926843E0,-5.093673989E-2
2.453620542E0,3.083154559E-1,1.430314064E0,7.664264739E-2
2.463573542E0,1.759664714E-1,1.377425909E0,1.823011637E-1
2.473526542E0,4.475532100E-2,1.227966189E0,2.511727214E-1
2.483479542E0,-7.464990020E-2,1.047110200E0,2.931958139E-1
2.493432542E0,-1.745249629E-1,8.621689677E-1,3.250117004E-1
2.503385542E0,-2.837017775E-1,7.648107409E-1,3.638805449E-1
2.513338542E0,-4.868312776E-1,7.832903862E-1,4.548412561E-1
2.523291542E0,-7.578874826E-1,8.476118445E-1,6.010583639E-1
2.533244542E0,-9.926296473E-1,7.989053130E-1,7.459112406E-1
2.543197542E0,-1.100166321E0,6.403931975E-1,8.485550880E-1
2.553150542E0,-1.079502344E0,3.737965822E-1,9.042419195E-1
2.563102542E0,-9.291782975E-1,7.855191827E-2,8.608305454E-1
2.573055542E0,-6.867247224E-1,-1.936606467E-1,7.177757025E-1
2.583008542E0,-4.195404351E-1,-3.759311438E-1,5.216605067E-1
2.592962208E0,-2.135331333E-1,-4.035771191E-1,3.610187173E-1
2.602915208E0,-7.394833863E-2,-3.026811182E-1,2.886039019E-1
2.612868208E0,3.810495883E-2,-1.281309724E-1,3.068920076E-1
2.622821208E0,1.595965028E-1,3.476020321E-2,3.882829845E-1
2.632774208E0,2.920058668E-1,1.735368371E-1,4.786807299E-1
2.642727208E0,4.115032554E-1,2.852026522E-1,5.382961035E-1
2.652680208E0,4.806357026E-1,3.526585102E-1,5.581904650E-1
2.662633208E0,5.111949444E-1,3.672448993E-1,5.379046202E-1
