"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.442698208E0,-4.331542511E0,3.813469849E0,7.779771881E0
3.452651208E0,-4.120481415E0,3.502416687E0,6.806944885E0
3.462604208E0,-3.950135651E0,3.327131195E0,6.050118713E0
3.472557208E0,-3.618126068E0,3.010539551E0,5.344186707E0
3.482510208E0,-3.485501862E0,2.834505615E0,4.655917969E0
3.492463208E0,-3.414100342E0,2.758613434E0,4.252057800E0
3.502416208E0,-3.307671661E0,2.580483856E0,4.009562073E0
3.512369208E0,-3.180735626E0,2.295326843E0,3.644321594E0
3.522322208E0,-2.876268768E0,2.014810181E0,3.300336914E0
3.532275208E0,-2.507286072E0,1.759291534E0,3.074007568E0
3.542228208E0,-2.260149994E0,1.434467010E0,2.999911652E0
3.552181208E0,-2.140548706E0,1.031654663E0,2.990630951E0
3.562134208E0,-2.090702362E0,4.897814941E-1,2.964136047E0
3.572087208E0,-1.901046753E0,-3.697311401E-2,2.969225464E0
3.582039208E0,-1.630559235E0,-3.966751099E-1,3.020269318E0
3.591991917E0,-1.591490479E0,-7.039860535E-1,3.177891541E0
3.601944917E0,-1.473984833E0,-1.066382446E0,3.322341156E0
3.611897917E0,-1.368603973E0,-1.270258484E0,3.229534149E0
3.621850917E0,-1.597627716E0,-1.408121796E0,3.049308929E0
3.631803917E0,-1.908531189E0,-1.586101685E0,2.866539001E0
3.641756917E0,-2.069446564E0,-1.727258148E0,2.407743073E0
3.651709917E0,-2.246977386E0,-1.985620880E0,1.857337646E0
3.661662917E0,-2.507735138E0,-2.459834747E0,1.465452576E0
3.671615917E0,-2.939437408E0,-3.161425781E0,1.143023071E0
3.681568917E0,-3.653452606E0,-3.813320160E0,9.333091736E-1
3.691521917E0,-4.647685089E0,-4.431833954E0,9.306147766E-1
3.701474917E0,-5.709876251E0,-5.231171722E0,9.880952454E-1
3.711427917E0,-7.057074738E0,-6.079757080E0,1.204844513E0
3.721380917E0,-8.262068939E0,-6.748715973E0,1.695075073E0
3.731333917E0,-9.158554688E0,-7.376809845E0,2.222428436E0
3.741286917E0,-1.050485504E1,-8.100854187E0,2.615061951E0
3.751239917E0,-1.255065079E1,-8.822054443E0,3.225043488E0
3.761192917E0,-1.407328445E1,-9.652078400E0,4.246818695E0
3.771145917E0,-1.549008820E1,-1.003303619E1,4.785698090E0
3.781098917E0,-1.685824310E1,-9.470505981E0,4.966522064E0
3.791051917E0,-1.809766571E1,-9.047186279E0,4.820874939E0
3.801004917E0,-1.976953903E1,-9.541159058E0,4.453838196E0
3.810957917E0,-2.126253433E1,-1.049961594E1,3.992647247E0
3.820910917E0,-2.230661316E1,-1.134805161E1,3.848796387E0
3.830863917E0,-2.249387375E1,-1.150058441E1,4.375700684E0
3.840816917E0,-2.237487122E1,-1.075049423E1,5.271437988E0
3.850769917E0,-2.201965988E1,-9.876761169E0,6.182593231E0
3.860722917E0,-2.122406433E1,-8.869954834E0,6.922205200E0
3.870675917E0,-2.081212097E1,-7.533234558E0,6.979685669E0
3.880628917E0,-2.044014450E1,-6.541546783E0,6.546486511E0
3.890581917E0,-2.042727127E1,-6.123765564E0,5.608986053E0
3.900534917E0,-2.036455170E1,-5.883814545E0,4.530628510E0
3.910487917E0,-1.987417145E1,-5.479205933E0,3.694617004E0
3.920440917E0,-1.926598618E1,-4.766537933E0,2.927612000E0
3.930393917E0,-1.849209549E1,-3.974983978E0,2.405647430E0
3.940346917E0,-1.748364258E1,-3.354224854E0,2.117646332E0
3.950299917E0,-1.637789200E1,-2.962339783E0,2.214045868E0
3.960252917E0,-1.508967087E1,-3.002156982E0,2.366428986E0
3.970205917E0,-1.375085495E1,-3.082090759E0,2.519710236E0
3.980158917E0,-1.233659592E1,-2.833906860E0,2.689906311E0
3.990111917E0,-1.092742630E1,-2.383044434E0,2.594554596E0
4.000064917E0,-9.685758362E0,-1.730401611E0,2.160906372E0
4.010017917E0,-8.661887512E0,-9.942324829E-1,1.651365967E0
4.019970917E0,-7.828720093E0,-3.878434753E-1,1.222507782E0
4.029923917E0,-7.276069336E0,1.284329224E-1,8.638536072E-1
4.039876917E0,-6.903344421E0,6.159690857E-1,3.730242920E-1
4.049829917E0,-6.553970947E0,1.040635986E0,-1.881587219E-1
4.059782917E0,-6.213728485E0,1.209484863E0,-6.494993591E-1
