,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Height (m),loc_Velocity (m/s),loc_Direction (°),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (m),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT)
2021-06-02 08:23:23.058970112,-0.0867628292548077,0.18859583827115384,9.776199056509615,0.00030542362949999996,0.0001174706389980769,-0.00037590600549711537,26.14999962,,,,,,,,14.318407822400001,23.7939036564,-35.5600714132
2021-06-02 08:23:23.308970112,-0.0886264699171154,0.18965420227211535,9.773507017326923,0.00017620594009615383,0.0002231942041403846,-0.0002701824414596154,25.39999962,,,,,,,,14.268143731200002,23.8466073616,-35.560559845200004
2021-06-02 08:23:23.558970112,-0.08694689226721156,0.18659415053461537,9.770769128394232,0.00014096475207692305,-4.698824006923079e-05,-0.00031717069215288457,25.10000038,,,,,,,,14.351591683200002,23.905167618399997,-35.6332711788
2021-06-02 08:23:23.808970112,-0.08506024363807693,0.18972322602692307,9.773345993028846,0.00017620594009615386,1.1747071030769202e-05,-0.0003876530681740385,25.79999924,28.70673839,115.9059862,75.80092286,0.0,0.0,16.18173981,7.925030708,14.362327614400002,24.098415527999997,-35.9187518308
2021-06-02 08:23:24.058970112,-0.08538235423105768,0.18820470413653842,9.773161924807692,0.00028192950415384616,1.1747070474999979e-05,-0.0003289177547980769,26.5,,,,,,,,14.313039780400002,23.92663971,-35.9236309812
2021-06-02 08:23:24.308970112,-0.08846541429875,0.18739942689903846,9.771597339500001,0.0001879530027692308,0.00015271182812019227,-0.00043464131887596154,25.79999924,,,,,,,,14.314991761200002,24.060351409600003,-35.942663421199995
2021-06-02 08:23:24.558970112,-0.08618763121442306,0.1893781071105769,9.771068187798077,0.00022319419078846157,0.0001762059506807692,-0.0003289177548182692,25.0,,,,,,,,14.342807733199999,24.0066716768,-35.706959075200004
2021-06-02 08:23:24.808970112,-0.08798224815682694,0.1895391633028846,9.770423971653846,0.00023494125346153845,1.1169230750454777e-11,-0.0002936765668019231,23.60000038,28.70673838,115.9059862,75.80183833,0.0,0.0,16.27801895,8.020655632,14.259359664400003,23.843679886,-35.780159148399996
2021-06-02 08:23:25.058970112,-0.08784792551076191,0.18878516114666669,9.7688921156,0.00011747062673076921,4.698826297403844e-05,-0.00043464131886730765,23.20000076,,,,,,,,14.3779436872,23.747543563999997,-35.5385989392
2021-06-02 08:23:25.308970112,-0.08581950483471154,0.18958517923076926,9.767847107,0.00015271181475000003,-9.397649076538461e-05,-0.00032891775481538464,22.39999962,,,,,,,,14.3115756996,23.5938233944,-35.605455322000005
2021-06-02 08:23:25.558970112,-0.08522129950480768,0.18811267270673077,9.768422255067309,0.00030542362949999996,0.0001879530155730769,-0.0003524118801663462,19.10000038,,,,,,,,14.329631654400002,23.824159775600002,-35.575686951200005
2021-06-02 08:23:25.808970112,-0.0865327497739423,0.18799763201153846,9.769066471307692,0.0002466883161346154,0.00023494126290769227,-0.0003876530681798076,17.70000076,28.70673838,115.9059862,75.80305903,0.0,0.0,15.8231163,7.870456696,14.3672076804,24.033999481600002,-35.998295594
2021-06-02 08:23:26.058970112,-0.08432399058951923,0.1885268140894231,9.76897449676923,0.0002584353788076923,0.0003759060160807692,-0.0003054236294701923,17.14999962,,,,,,,,14.3159676744,24.1389195264,-36.0041511544
2021-06-02 08:23:26.308970112,-0.08487618016173076,0.1899763127951923,9.768123186548078,0.00011747062673076924,0.00021144714260961536,-0.0003406648174807692,16.89999962,,,,,,,,14.3955117412,24.214559480000002,-35.755758971599995
2021-06-02 08:23:26.558970112,-0.08524430693817307,0.18765251424326923,9.768560299442308,-3.524118801923077e-05,0.0002114471386971154,-0.0002936765668076923,16.39999962,,,,,,,,14.396487694400001,24.2931274412,-35.678167266799996
2021-06-02 08:23:26.808970112,-0.08471512497269232,0.18857283001923075,9.76770901676923,5.817592942857143e-05,0.00010907987650666666,-0.0003665083553599999,16.5,28.70673839,115.9059862,75.8031811,0.0,0.0,16.07169151,8.046417236,14.355007744000002,24.2970317852,-35.715743103200005
2021-06-02 08:23:27.058970112,-0.0852443069364423,0.18907900498461536,9.76853732876923,0.00015271181474999998,0.00017620595122499997,-0.0003406648174923077,16.80000019,,,,,,,,14.358423768,24.309231415600003,-35.681583100400005
