,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lux_Illuminance (lx),loc_Latitude (°),loc_Longitude (°),loc_Velocity (m/s),mag_Magnetic field x (µT),mag_Magnetic field y (µT),mag_Magnetic field z (µT),labelbike,labeldance,labeldesk,labelrun,labelsit,labelwalki,labelwalko
2021-06-05 08:36:40.816535552,0.043289106719795925,-0.4195428511928571,9.931787675765307,0.0013348408740989997,0.0006342216127319999,1.2293558146000052e-05,,,,,-42.5719744876,-29.4497573852,-53.854199523199995,0,0,1,0,0,0,0
2021-06-05 08:36:41.066535552,0.03816804440390909,-0.42451355674242425,9.932398410828283,0.0011343974096734695,0.0007120510153765307,0.0003825269892000001,,,,,-42.7200662224,-29.1223565668,-53.8988143924,0,0,1,0,0,0,0
2021-06-05 08:36:41.316535552,0.036546857670242426,-0.42780431202020197,9.929809358434344,0.0009406933909720002,0.0008472742664400001,0.0005023147631279999,,,,,-42.19056793199999,-29.540963746,-53.626985779200005,0,0,1,0,0,0,0
2021-06-05 08:36:41.566535552,0.037829289533,-0.4249249019464646,9.937092598030304,0.0010148269973836736,0.0007555311645755103,0.0007521081810673471,,,,,-42.011319121599996,-29.687826538400003,-54.15940460160001,0,0,1,0,0,0,0
2021-06-05 08:36:41.816535552,0.03688561314336364,-0.42652188437575766,9.929591622040403,0.001275707903362245,0.0006577008403132653,0.0002520865361959184,,,,,-42.4364685064,-29.327862549600002,-54.118434142800005,0,0,1,0,0,0,0
2021-06-05 08:36:42.066535552,0.041966931386464644,-0.4271026112272728,9.930220671363637,0.0014200619770439998,0.001209463887467,0.0006834095600240001,,,,,-42.3691557308,-29.2929071036,-53.8200180048,0,0,1,0,0,0,0
2021-06-05 08:36:42.316535552,0.042789622389050506,-0.4249007048636364,9.936778049252524,0.0010365671144265307,0.0006577008420755102,0.0004912273274734695,,,,,-42.153467408,-29.351750488000004,-54.0244479372,0,0,1,0,0,0,0
2021-06-05 08:36:42.566535552,0.04123584348389796,-0.42709594296326525,9.934427533918369,0.001238967161592,0.000698137350303,0.000246651524236,,,,,-42.42433120639999,-29.458566285600003,-53.800898742799994,0,0,1,0,0,0,0
2021-06-05 08:36:42.816535552,0.03870037348626263,-0.42504588311515146,9.936124685989899,0.0007756862085816328,0.0008098813681367348,0.0005564475313326531,,,,,-42.3562643428,-29.555216368,-54.0209481812,0,0,1,0,0,0,0
2021-06-05 08:36:43.066535552,0.039523060273202015,-0.4248039162585858,9.93626997210101,0.001047219715462,0.0008792321907719998,0.0005342726665860001,,,,,-42.707164154000004,-29.737953796399996,-53.668507993999995,0,0,1,0,0,0,0
2021-06-05 08:36:43.316535552,0.03940207609071717,-0.4178594504363636,9.936463519828283,0.0009713468630683674,0.0011577224881591838,0.0006868879890428572,,,,,-42.4305604544,-29.498173217199998,-53.6829727176,0,0,1,0,0,0,0
2021-06-05 08:36:43.566535552,0.03843420984741414,-0.41594790569898993,9.933656721373739,0.0010256970429122448,0.0006577008634510204,0.0007086280491346939,,,,,-42.3990048208,-29.629776000799996,-54.2316268924,0,0,1,0,0,0,0
