"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.047775844E2,5.233293437E1,4.861921850E0,2.133062981E1,3.349999905E0,1.848000031E2,1.179199982E1,6.000000000E0
1.057775844E2,5.233290617E1,4.861932050E0,2.077566436E1,3.329999924E0,1.711000061E2,1.179199982E1,6.000000000E0
1.067775844E2,5.233287600E1,4.861949970E0,1.942413073E1,3.369999886E0,1.633000031E2,1.286400032E1,6.000000000E0
1.077775847E2,5.233284582E1,4.861958330E0,1.805196173E1,3.400000095E0,1.680000000E2,1.286400032E1,6.000000000E0
1.087775847E2,5.233281458E1,4.861963730E0,1.690769483E1,3.619999886E0,1.828000031E2,1.179199982E1,6.000000000E0
1.097775843E2,5.233278035E1,4.861955480E0,1.782591591E1,3.619999886E0,1.876000061E2,1.179199982E1,6.000000000E0
1.107775845E2,5.233274461E1,4.861945840E0,1.909948076E1,3.660000086E0,1.810000000E2,1.179199982E1,6.000000000E0
1.117775844E2,5.233270757E1,4.861942690E0,1.970611634E1,3.660000086E0,1.756999969E2,1.179199982E1,6.000000000E0
1.127775850E2,5.233267318E1,4.861947070E0,1.720790155E1,3.589999914E0,1.721999969E2,1.072000027E1,6.000000000E0
1.137775840E2,5.233264125E1,4.861955780E0,1.710910676E1,3.559999943E0,1.703000031E2,1.072000027E1,6.000000000E0
1.147775840E2,5.233260854E1,4.861962060E0,1.778405216E1,3.559999943E0,1.711000061E2,1.072000027E1,6.000000000E0
1.157775845E2,5.233257579E1,4.861961960E0,1.743366427E1,3.549999952E0,1.758999939E2,1.072000027E1,6.000000000E0
1.167775840E2,5.233254262E1,4.861958620E0,1.689650635E1,3.559999943E0,1.798000031E2,1.072000027E1,6.000000000E0
1.177775846E2,5.233251029E1,4.861951410E0,1.661459643E1,3.539999962E0,1.848000031E2,1.072000027E1,6.000000000E0
1.187775847E2,5.233247945E1,4.861941130E0,1.717600959E1,3.519999981E0,1.861999969E2,1.072000027E1,6.000000000E0
1.197775845E2,5.233244488E1,4.861929630E0,1.766136702E1,3.609999895E0,1.861999969E2,1.072000027E1,6.000000000E0
1.207775845E2,5.233240839E1,4.861918680E0,1.727684901E1,3.650000095E0,1.813000031E2,1.072000027E1,6.000000000E0
1.217775847E2,5.233237472E1,4.861913530E0,1.709723330E1,3.619999886E0,1.766999969E2,1.072000027E1,6.000000000E0
1.227775845E2,5.233233986E1,4.861911430E0,1.644502245E1,3.660000086E0,1.851999969E2,1.072000027E1,6.000000000E0
