"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.555273556E0,3.816214800E-1,1.283371329E0,4.198636394E-3
1.560331420E0,3.693709373E-1,1.307339668E0,-9.117158130E-3
1.565387254E0,3.470004201E-1,1.339830279E0,-2.988979779E-2
1.570445066E0,3.262277842E-1,1.372320771E0,-4.586874694E-2
1.575502931E0,3.022593260E-1,1.409072399E0,-5.598875135E-2
1.580560743E0,2.926719785E-1,1.440497637E0,-5.652138218E-2
1.585618556E0,2.900088131E-1,1.461802959E0,-4.853190854E-2
1.590676420E0,2.889435589E-1,1.491630316E0,-3.894453496E-2
1.595722150E0,2.766930163E-1,1.534773469E0,-3.042242862E-2
1.600779962E0,2.585835457E-1,1.615200877E0,-1.763926633E-2
1.605837775E0,2.292888165E-1,1.718531489E0,2.068109345E-3
1.610895639E0,1.957330108E-1,1.790436745E0,3.029759228E-2
1.615953452E0,1.712319702E-1,1.828253508E0,6.704918295E-2
1.621011316E0,1.456656307E-1,1.846363068E0,1.038007811E-1
1.626045691E0,1.227624565E-1,1.846363068E0,1.421502531E-1
1.631103556E0,1.025224552E-1,1.827188373E0,1.746407896E-1
1.636161420E0,7.748875767E-2,1.793632507E0,2.060660720E-1
1.641219181E0,5.245507509E-2,1.769131422E0,2.177839577E-1
1.646277045E0,2.529085428E-2,1.746760964E0,2.204471231E-1
1.651334858E0,7.714006118E-3,1.721727252E0,2.263060808E-1
1.656415587E0,-2.938629361E-3,1.711607218E0,2.364260852E-1
1.661473400E0,-8.264946751E-3,1.719596624E0,2.444155514E-1
1.666531264E0,-1.039547380E-2,1.738238692E0,2.470787168E-1
1.671589077E0,-1.572179049E-2,1.767533541E0,2.518723905E-1
1.676646889E0,-2.850495279E-2,1.799491405E0,2.598618865E-1
1.681704754E0,-5.034285411E-2,1.827188373E0,2.662534714E-1
1.686762097E0,-7.271339744E-2,1.835177779E0,2.673186958E-1
1.691819910E0,-9.881234914E-2,1.823459983E0,2.667860985E-1
1.696877775E0,-1.291723549E-1,1.799491405E0,2.614597678E-1
1.701935587E0,-1.632607877E-1,1.762207270E0,2.534703016E-1
1.706993452E0,-1.978818476E-1,1.722792506E0,2.417524010E-1
1.712051264E0,-2.319702804E-1,1.682312489E0,2.279039770E-1
1.717120066E0,-2.671239972E-1,1.642365098E0,2.023376524E-1
1.722177879E0,-3.166587651E-1,1.600819826E0,1.730429083E-1
1.727235743E0,-3.741829693E-1,1.544360876E0,1.357586831E-1
1.732293556E0,-4.386314154E-1,1.466596603E0,9.740920365E-2
1.737351368E0,-4.918946028E-1,1.372320771E0,5.479865521E-2
1.742409233E0,-5.259829164E-1,1.280175567E0,1.644916646E-2
1.747450587E0,-5.398313999E-1,1.216259599E0,-1.018242165E-2
1.752508400E0,-5.329071879E-1,1.206672311E0,-2.882453240E-2
1.757566264E0,-5.302440524E-1,1.260468125E0,-3.787926957E-2
1.762624077E0,-5.488861203E-1,1.355276585E0,-3.308558464E-2
1.767681889E0,-6.122693419E-1,1.464466095E0,-2.882453240E-2
1.772739754E0,-7.310461998E-1,1.532642961E0,-2.882453240E-2
1.777814233E0,-8.919009566E-1,1.531577706E0,-3.258208279E-3
1.782872045E0,-1.046896815E0,1.504946113E0,3.562391177E-2
